regulation_date 	 location_id 	 regulation
1/1/2002	 4010 North 	" Shelf rockfish north including minor shelf rockfish, widow rockfish and yellowtail rockfish, limited entry fixed gear, 200 lbs per month"
1/1/2002	 4010 North 	" Yellowtail rockfish, limited entry midwater trawl, closed"
1/1/2002	 4010 North 	" Yellowtail rockfish, limited entry small footrope trawl, without flatfish 1000 lbs per month, as flatfish bycatch - 33% (by weight) of all flatfish except arrowtooth, plus 10% (by weight) of arrowtooth flounder, not to exceed 30000 lbs per 2 months"
3/1/2002	 3427 South 	" shelf rockfish south including minor shelf rockfish, widow rockfish and yellowtail rockfish, open access, 500 lbs per month"
3/1/2002	 3427 South 	" Shelf rockfish south including minor shelf rockfish, widow rockfish and yellowtail rockfish, limited entry fixed gear, 1000 lbs per month"
5/1/2002	 4010 North 	" Yellowtail rockfish, limited entry midwater trawl,during primary whiting season, trips of at least 10000 lbs of whiting: combined widow and yellowtail limit of 500 lbs per trip with a cumulative yellowtail limit of 2000 lbs per month"
5/1/2002	 ALL 	" widow rockfish, limited entry midwater trawl, during primary whiting season, trips of at least 10000 lbs of whiting: combined widow and yellowtail limit of 500 lbs per trip with a cumulative widow limit of 1500 lbs per month"
11/1/2002	 3427 South 	" shelf rockfish south including minor shelf rockfish, widow rockfish and yellowtail rockfish, open access, closed"
11/1/2002	 3427 South 	" Shelf rockfish south including minor shelf rockfish, widow rockfish and yellowtail rockfish, limited entry fixed gear, closed"
11/1/2002	 4010 North 	" Yellowtail rockfish, limited entry midwater trawl, closed"
1/1/2003	 4010 North 	" minor shelf rockfish north including widow, yellowtail, bocaccio and chilipepper, open access gears, 200 lbs per month"
1/1/2003	 4010 North 	" minor shelf rockfish north including widow, yellowtail, bocaccio and chilipepper, limited entry fixed gear, 200 lbs per month"
1/1/2003	 4010 North 	" yellowtail rockfish with midwater trawl within the RCA, Limited entry trawl gear, small footrope or midwater trawl only, closed"
1/1/2003	 4010 North 	" yellowtail rockfish with small footrope, Limited entry trawl gear, in landings without flatfish - 1000 lbs per month, as flatfish bycatch - per trip limit is 33% (by weight) of all flatfish (except arrowtooth flounder) plus 10% (by weight) of arrowtooth flounder.  Total yellowtail landings no to exceed 10000 lbs per 2 months with no more than 1000 lbs landed without flatfish"
1/1/2003	 4010 South 	" minor shelf rockfish south including widow, chilipepper, and yellowtail, open access gear, 100 lbs per 2 months"
1/1/2003	 4010 South 	" minor shelf rockfish south including widow, yellowtail, and chilipepper rockfish, limited entry fixed gear, 100 lbs per 2 months"
1/1/2003	 4010 South 	" minor shelf rockfish south including widow, chilipepper, and yellowtail rockfish, limited entry trawl, small footrope or midwater trawl only, 300 lbs per month"
3/1/2003	 4010 South 	" minor shelf rockfish south including widow, chilipepper, and yellowtail, open access gear, closed"
3/1/2003	 4010 South 	" minor shelf rockfish south including widow, yellowtail, and chilipepper rockfish, limited entry fixed gear, closed"
5/1/2003	 4010 North 	" widow rockfish with midwater trawl within the RCA, Limited entry trawl gear, during whiting primary season, in trips with at least 10000 lbs of whiting, combined widow and yellowtail rockfish limit of 500 lbs per trip with no more than 1500 lbs of widow rockfish per month"
5/1/2003	 4010 North 	" yellowtail rockfish with midwater trawl within the RCA, Limited entry trawl gear, small footrope or midwater trawl only,  during whiting primary season, in trips with at least 10000 lbs of whiting, combined widow and yellowtail rockfish limit of 500 lbs per trip with no more than 2000 lbs of yellowtail rockfish per month"
5/1/2003	 4010 South 	" minor shelf rockfish south including widow, chilipepper, and yellowtail, open access gear, 200 lbs per 2 months"
5/1/2003	 4010 South 	" minor shelf rockfish south including widow, yellowtail, and chilipepper rockfish, limited entry fixed gear, 200 lbs per 2 months"
7/1/2003	 4010 South 	" minor shelf rockfish south including widow, chilipepper, and yellowtail, open access gear, 250 lbs per 2 months"
7/1/2003	 4010 South 	" minor shelf rockfish south including widow, yellowtail, and chilipepper rockfish, limited entry fixed gear, 250 lbs per 2 months"
9/1/2003	 4010 South 	" minor shelf rockfish south including widow, chilipepper, and yellowtail, open access gear, 200 lbs per 2 months"
9/1/2003	 4010 South 	" minor shelf rockfish south including widow, yellowtail, and chilipepper rockfish, limited entry fixed gear, 200 lbs per 2 months"
11/1/2003	 4010 North 	" yellowtail rockfish with midwater trawl within the RCA, Limited entry trawl gear, small footrope or midwater trawl only, closed"
11/1/2003	 4010 South 	" minor shelf rockfish south including widow, chilipepper, and yellowtail, open access gear, 100 lbs per 2 months"
11/1/2003	 4010 South 	" minor shelf rockfish south including widow, yellowtail, and chilipepper rockfish, limited entry fixed gear, 100 lbs per 2 months"
1/1/2004	 3427 South 	" minor shelf rockfish south including widow rockfish, chilipepper rockfish, and yellowtail rockfish, open access gear, closed"
1/1/2004	 3427 South 	" minor shelf rockfish south including widow rockfish, and yellowtail rockfish, limited entry fixed gear, closed"
1/1/2004	 4010 North 	" minor shelf rockfish north including widow rockfish, yellowtail rockfish, bocaccio, and chilipepper rockfish, open access gear, 200 lbs per month"
1/1/2004	 4010 North 	" salmon troll, 1 lb of yellowtail for every 2 lbs of salmon landed up to 200 lbs per month: other restrictions apply - refer to Federal Register"
1/1/2004	 4010 North 	" minor shelf rockfish north including widow, bocaccio, chilipepper and yellowtail  rockfish, limited entry fixed gear, 200 lbs per month"
1/1/2004	 4010 North 	" widow rockfish, midwater trawl, limited entry trawl, before the primary whiting season: closed, during the primary whiting season: in trips of at least 10000 lbs of whiting: combined widow and yellowtail limit of 500 lbs per trip with a cumulative monthly limit of 1500 lbs of widow; after the primary whiting season: closed"
1/1/2004	 4010 North 	" yellowtail rockfish, large footrope, limited entry trawl, closed"
1/1/2004	 4010 North 	" yellowtail rockfish. Midwater trawl, limited entry trawl,  before the primary whiting season: closed, during the primary whiting season: in trips of at least 10000 lbs of whiting: combined widow and yellowtail limit of 500 lbs per trip with a cumulative monthly limit of 2000 lbs of widow; after the primary whiting season: closed"
1/1/2004	 4010 North 	" yellowtail rockfish, small footrope, limited entry trawl, in landings without flatfish: 1000 lbs per month, as flatfish bycatch, per trip limit is the sum of 33% (by weight) of all flatfish except arrowtooth flounder plus 10% by weight of arrowtooth flounder.  Total yellowtail landings not to exceed 10000 lbs per 2 months, no more than 1000 lbs per month may be landed without flatfish"
1/1/2004	 4010 South 	" minor shelf rockfish south including yellowtail rockfish, limited entry trawl, large footrope or midwater trawl, 300 lbs per month"
1/1/2004	 4010 South 	" minor shelf rockfish south including yellowtail rockfish, limited entry trawl, small footrope, 300 lbs per month"
3/1/2004	 3427 South 	" minor shelf rockfish south including widow rockfish, chilipepper rockfish, and yellowtail rockfish, open access gear, 500 lbs per 2 months"
3/1/2004	 3427 South 	" minor shelf rockfish south including widow rockfish, and yellowtail rockfish, limited entry fixed gear, 2000 lbs per 2 months"
7/1/2004	 4010 South 	" minor shelf rockfish south including yellowtail rockfish, limited entry trawl, small footrope, 1000 lbs per month, no more than 200 lbs per month of which may be minor shelf rockfish or widow rockfish"
7/1/2004	 4010 South 	" chilipepper rockfish, limited entry trawl, small footrope, 1000 lbs per month, no more than 200 lbs per month of which may be minor shelf south rockfish or widow rockfish"
7/1/2004	 4010 South 	" widow rockfish, limited entry trawl, small footrope, 1000 lbs per month, no more than 200 lbs per month of which may be minor shelf south rockfish or widow rockfish"
11/1/2004	 4010 North 	" yellowtail rockfish, small footrope, limited entry trawl, closed"
11/1/2004	 4010 South 	" minor shelf rockfish south including yellowtail rockfish, limited entry trawl, small footrope, 300 lbs per month"
1/1/2005	 3427 South 	" minor shelf rockfish south species including yellowtail, shortbelly, widow and chilipepper rockfish, open access gear, 500 lbs per 2 months"
1/1/2005	 3427 South 	" minor shelf south rockfish including yellowtail, shortbelly and widow rockfish, limited entry fixed gear, 300 lbs per 2 months"
1/1/2005	 4010 North 	" minor shelf rockfish north including shortbelly, widow, yellowtail, bocaccio, chilipepper and cowcod, open access gears, 200 lbs per month"
1/1/2005	 4010 North 	" Salmon troll, 1 lb of yellowtail for every 2 lbs of salmon landed with a cumulative monthly limit of 200 lbs per month.  Additional regulations apply - refer to the Federal register."
1/1/2005	 4010 North 	" minor shelf rockfish north including shortbelly, widow, bocaccio, chilipepper, cowcod, and yelloweye rockfish, limited entry trawl gear, midwater trawl for widow rockfish, before the primary whiting season - closed; during the primary whiting season , in trips with at least 10000 lbs of whiting - combined widow rockfish and yellowtail rockfish 500 lbs per trip with a cumulative limit of 1500 lbs of widow rockfish per month. Midwater trawl permitted in the RCA. After the primary whiting season - closed"
1/1/2005	 4010 North 	" yellowtail rockfish, limited entry trawl gear, midwater trawl, before the primary whiting season - closed; during the primary  whiting season , in trips with at least 10000 lbs of whiting - combined widow rockfish and yellowtail rockfish 500 lbs per trip with a cumulative limit of 2000 lbs of yellowtail rockfish per month. Midwater trawl permitted in the RCA. After the primary whiting season - closed"
1/1/2005	 4010 North 	" yellowtail rockfish, limited entry trawl gear, large and small footrope, 300 lbs per 2 months"
1/1/2005	 4010 North 	" yellowtail rockfish, limited entry trawl gear, selective flatfish gear, 2000 lbs per 2 months"
1/1/2005	 4010 North 	" yellowtail rockfish, limited entry trawl gear, multiple bottom trawl gear, 300 lbs per 2 months"
1/1/2005	 4010 North 	" minor shelf rockfish north including shortbelly, widow, yellowtail, chilipepper, bocaccio, and cowcod, limited entry fixed gear, 200 lbs per month"
1/1/2005	 4010 South 	" minor shelf rockfish south including chilipepper, shortbelly, widow, yellowtail and yelloweye rockfish, limited entry trawl, large footrope or midwater trawl for minor shelf rockfish or shortbelly rockfish, 300 lbs per month"
1/1/2005	 4010 South 	" minor shelf rockfish south including chilipepper, shortbelly, widow, yellowtail and yelloweye rockfish, limited entry trawl, large footrope or midwater trawl for minor shelf rockfish or chilipepper rockfish, 2000 lbs per 2 months"
1/1/2005	 4010 South 	" minor shelf rockfish south including chilipepper, shortbelly, widow, yellowtail and yelloweye rockfish, limited entry trawl, large footrope or midwater trawl for widow rockfish and yelloweye rockfish, closed"
1/1/2005	 4010 South 	" minor shelf rockfish south including chilipepper, shortbelly, widow, yellowtail and yelloweye rockfish, limited entry trawl, small footrope trawl, 300 lbs per month"
3/1/2005	 3427 South 	" minor shelf rockfish south species including yellowtail, shortbelly, widow and chilipepper rockfish, open access gear, closed"
3/1/2005	 3427 South 	" minor shelf south rockfish including yellowtail, shortbelly and widow rockfish, limited entry fixed gear, closed"
5/1/2005	 3427 South 	" minor shelf rockfish south species including yellowtail, shortbelly, widow and chilipepper rockfish, open access gear, 500 lbs per 2 months"
5/1/2005	 3427 South 	" minor shelf south rockfish including yellowtail, shortbelly and widow rockfish, limited entry fixed gear, 2000 lbs per 2 months"
5/1/2005	 4010 South 	" minor shelf rockfish south including chilipepper, shortbelly, widow, yellowtail and yelloweye rockfish, limited entry trawl, large footrope or midwater trawl for minor shelf rockfish or chilipepper rockfish, 12000 lbs per 2 months"
7/1/2005	 3427 South 	" minor shelf rockfish south species including yellowtail, shortbelly, widow and chilipepper rockfish, open access gear, 750 lbs per 2 months"
7/1/2005	 3427 South 	" minor shelf south rockfish including yellowtail, shortbelly and widow rockfish, limited entry fixed gear, 3000 lbs per months"
9/1/2005	 4010 South 	" minor shelf rockfish south including chilipepper, shortbelly, widow, yellowtail and yelloweye rockfish, limited entry trawl, large footrope or midwater trawl for minor shelf rockfish or chilipepper rockfish, 8000 lbs per 2 months"
1/1/2006	 3427 South 	" minor shelf rockfish south including chilipepper, shortbelly, widow, and yellowtail rockfish, open access gear, 750 lbs per 2 months"
1/1/2006	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly and widow rockfish, limited entry fixed gear, 3000 lbs per 2 months"
1/1/2006	 4010 North 	" minor shelf rockfish north including bocaccio, chilipepper, cowcod, shortbelly, widow, and yellowtail rockfish, open access gear, 200 lbs per month"
1/1/2006	 4010 North 	" salmon troll, open access gear, 1 lb of yellowtail for every 2 lbs of salmon with a cumulative limit of 200 lbs per month: Refer to Federal register for additional regulations"
1/1/2006	 4010 North 	" minor shelf rockfish north including shortbelly, widow, yellowtail, bocaccio, chilipepper, and cowcod, limited entry fixed gear, 200 lbs per month"
1/1/2006	 4010 North 	" midwater trawl for widow rockfish, limited entry trawl, before the primary whiting season - closed; during the primary whiting season in trips of at least 10000 lbs of whiting, combined widow and yellowtail limit of 500 lbs per trip with a cumulative limit of 1500 lbs of widow per month, midwater trawl permitted in the RCA; after the primary whiting season - closed"
1/1/2006	 4010 North 	" yellowtail rockfish, limited entry trawl, midwater trawl gear,  before the primary whiting season - closed; during the primary whiting season in trips of at least 10000 lbs of whiting, combined widow and yellowtail limit of 500 lbs per trip with a cumulative limit of 2000 lbs of yellowtail per month, midwater trawl permitted in the RCA; after the primary whiting season - closed"
1/1/2006	 4010 North 	" yellowtail rockfish, limited entry trawl,  large and small footrope gear, 150 lbs per month"
1/1/2006	 4010 North 	" yellowtail rockfish, limited entry trawl,  selective flatfish trawl gear, 1000 lbs per month"
1/1/2006	 4010 North 	" yellowtail rockfish , limited entry trawl,  multiple bottom trawl gear, 150 lbs per month"
1/1/2006	 4010 South 	" minor shelf rockfish south including yellowtail, chilipepper, shortbelly, widow and yelloweye rockfish, limited entry trawl, small footrope, 300 lbs per month"
3/1/2006	 4010 North 	" yellowtail rockfish, limited entry trawl,  large and small footrope gear, 350 lbs per month"
3/1/2006	 4010 North 	" yellowtail rockfish , limited entry trawl,   selective flatfish trawl gear, 2000 lbs per 2 months"
3/1/2006	 4010 North 	" yellowtail rockfish , limited entry trawl,  multiple bottom trawl gear, 300 lbs per 2 months"
1/1/2007	 3427 South 	" minor shelf south rockfish including yellowtail, shortbelly and widow rockfish,limited  entry fixed gear, 3000 lbs per 2 months"
1/1/2007	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly, widow, and chilipepper, open access gear, 750 lbs per 2 months"
1/1/2007	 4010 North 	" minor shelf rockfish north including bocaccio, chilipepper, cowcod, shortbelly, widow, and yellowtail, limited entry fixed gear, 200 lbs per month"
1/1/2007	 4010 North 	" minor shelf rockfish north including bocaccio, chilipepper, cowcod, shortbelly, widow and yellowtail, open access gears, 200 lbs per month"
1/1/2007	 4010 North 	" salmon troll, open access gear, 1 lb of yellowtail for every 2 lbs of salmon with a cumulative limit of 200 lbs per month: Refer to Federal register for additional regulations"
1/1/2007	 4010 North 	" yellowtail rockfish, limited entry trawl, midwater trawl, , before the primary whiting season - closed; during the primary whiting season - in trips of at least 10000 lbs of whiting, combined widow and yellowtail limit of 500 lbs per trip, cumulative 2000 lbs per month for yellowtail.  Midwater trawl permitted in the RCA."
1/1/2007	 4010 North 	" yellowtail rockfish, limited entry trawl,  large and small footrope gear, 300 lbs per 2 months"
1/1/2007	 4010 North 	" yellowtail rockfish, limited entry trawl,  selective flatfish trawl, 2000 lbs per 2 months"
1/1/2007	 4010 North 	" yellowtail rockfish, limited entry trawl,  multiple bottom trawl gear, 300 lbs per 2 months"
1/1/2007	 4010 South 	" minor shelf rockfish south including shortbelly and yellowtail, limited entry trawl,  large footrope or midwater trawl, 300 lbs per month"
1/1/2007	 4010 South 	" minor shelf rockfish south including shortbelly, widow, yellowtail, and yelloweye, limited entry trawl, small footrope, 300 lbs per month"
3/1/2007	 3427 South 	" minor shelf south rockfish including yellowtail, shortbelly and widow rockfish,limited  entry fixed gear, closed"
3/1/2007	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly, widow, and chilipepper, open access gear, closed"
5/1/2007	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly, widow, and chilipepper, open access gear, 750 lbs per 2 months"
11/1/2007	 4010 North 	" widow rockfish, limited entry trawl, midwater trawl, before the primary whiting season - closed; during the primary whiting season - in trips of at least 10000 lbs of whiting, combined widow and yellowtail limit of 500 lbs per trip, cumulative 1500 lbs per month for widow.  Midwater trawl permitted in the RCA."
1/1/2008	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly and widow rockfish,limited  entry fixed gear, 3000 lbs per 2 months"
1/1/2008	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly, widow, and chilipepper, open access gear, 750 lbs per 2 months"
1/1/2008	 4010 North 	" minor shelf rockfish north including bocaccio, chilipepper, cowcod, shortbelly, widow, and yellowtail, limited entry fixed gear, 200 lbs per month"
1/1/2008	 4010 North 	" minor shelf rockfish north including bocaccio, chilipepper, cowcod, shortbelly, widow and yellowtail, open access gears, 200 lbs per month"
1/1/2008	 4010 North 	" salmon troll, open access gear, 1 lb of yellowtail for every 2 lbs of salmon with a cumulative limit of 200 lbs per month: Refer to Federal register for additional regulations"
1/1/2008	 4010 North 	" widow rockfish, limited entry trawl, midwater trawl, before the primary whiting season - closed; during the primary whiting season - in trips of at least 10000 lbs of whiting, combined widow and yellowtail limit of 500 lbs per trip, cumulative 1500 lbs per month for widow.  Midwater trawl permitted in the RCA."
1/1/2008	 4010 North 	" yellowtail rockfish, limited entry trawl, midwater trawl, before the primary whiting season - closed; during the primary whiting season - in trips of at least 10000 lbs of whiting, combined widow and yellowtail limit of 500 lbs per trip, cumulative 2000 lbs per month for yellowtail.  Midwater trawl permitted in the RCA."
1/1/2008	 4010 North 	" yellowtail rockfish, limited entry trawl,  large and small footrope gear, 300 lbs per 2 months"
1/1/2008	 4010 North 	" yellowtail rockfish, limited entry trawl,  selective flatfish trawl, 2000 lbs per 2 months"
1/1/2008	 4010 North 	" yellowtail rockfish, limited entry trawl,  multiple bottom trawl gear, 300 lbs per 2 months"
1/1/2008	 4010 South 	" minor shelf rockfish south including shortbelly and yellowtail, limited entry trawl,  large footrope or midwater trawl, 300 lbs per month"
1/1/2008	 4010 South 	" minor shelf rockfish south including shortbelly, widow, yellowtail, and yelloweye, limited entry trawl, small footrope, 300 lbs per month"
3/1/2008	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly and widow rockfish,limited  entry fixed gear, closed"
3/1/2008	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly, widow, and chilipepper, open access gear, closed"
5/1/2008	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly, and widow rockfish,limited  entry fixed gear, 3000 lbs per 2 months"
5/1/2008	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly, widow, and chilipepper, open access gear, 750 lbs per 2 months"
11/1/2008	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly, widow, and chilipepper, open access gear, 1000 lbs per 2 months"
1/1/2009	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly and widow rockfish,limited  entry fixed gear, 3000 lbs per 2 months"
1/1/2009	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly, widow, and chilipepper, open access gear, 750 lbs per 2 months"
1/1/2009	 4010 North 	" minor shelf rockfish north including bocaccio, chilipepper, cowcod, shortbelly, widow, and yellowtail, limited entry fixed gear, 200 lbs per month"
1/1/2009	 4010 North 	" minor shelf rockfish north including bocaccio, chilipepper, cowcod, shortbelly, widow and yellowtail, open access gears, 200 lbs per month"
1/1/2009	 4010 North 	" salmon troll, open access gear, 1 lb of yellowtail for every 2 lbs of salmon with a cumulative limit of 200 lbs per month: Refer to Federal register for additional regulations"
1/1/2009	 4010 North 	" widow rockfish, limited entry trawl, midwater trawl, before the primary whiting season - closed; during the primary whiting season - in trips of at least 10000 lbs of whiting, combined widow and yellowtail limit of 500 lbs per trip, cumulative 1500 lbs per month for widow.  Midwater trawl permitted in the RCA."
1/1/2009	 4010 North 	" yellowtail rockfish, limited entry trawl, midwater trawl, , before the primary whiting season - closed; during the primary whiting season - in trips of at least 10000 lbs of whiting, combined widow and yellowtail limit of 500 lbs per trip, cumulative 2000 lbs per month for yellowtail.  Midwater trawl permitted in the RCA."
1/1/2009	 4010 North 	" yellowtail rockfish, limited entry trawl,  large and small footrope gear, 300 lbs per 2 months"
1/1/2009	 4010 North 	" yellowtail rockfish, limited entry trawl,  selective flatfish trawl, 2000 lbs per 2 months"
1/1/2009	 4010 North 	" yellowtail rockfish, limited entry trawl,  multiple bottom trawl gear, 300 lbs per 2 months"
1/1/2009	 4010 South 	" minor shelf rockfish south including shortbelly and yellowtail, limited entry trawl,  large footrope or midwater trawl, 300 lbs per month"
1/1/2009	 4010 South 	" minor shelf rockfish south including shortbelly, widow, yellowtail, and yelloweye, limited entry trawl, small footrope, 300 lbs per month"
3/1/2009	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly and widow rockfish,limited  entry fixed gear, closed"
3/1/2009	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly, widow, and chilipepper, open access gear, closed"
5/1/2009	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly, and widow rockfish,limited  entry fixed gear, 3000 lbs per 2 months"
5/1/2009	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly, widow, and chilipepper, open access gear, 750 lbs per 2 months"
1/1/2010	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly and widow rockfish,limited  entry fixed gear, 3000 lbs per 2 months"
1/1/2010	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly, widow, and chilipepper, open access gear, 750 lbs per 2 months"
1/1/2010	 4010 North 	" minor shelf rockfish north including bocaccio, chilipepper, cowcod, shortbelly, widow, and yellowtail, limited entry fixed gear, 200 lbs per month"
1/1/2010	 4010 North 	" minor shelf rockfish north including bocaccio, chilipepper, cowcod, shortbelly, widow and yellowtail, open access gears, 200 lbs per month"
1/1/2010	 4010 North 	" salmon troll, open access gear, 1 lb of yellowtail for every 2 lbs of salmon with a cumulative limit of 200 lbs per month: Refer to Federal register for additional regulations"
1/1/2010	 4010 North 	" widow rockfish, limited entry trawl, midwater trawl, before the primary whiting season - closed; during the primary whiting season - in trips of at least 10000 lbs of whiting, combined widow and yellowtail limit of 500 lbs per trip, cumulative 1500 lbs per month for widow.  Midwater trawl permitted in the RCA."
1/1/2010	 4010 North 	" yellowtail rockfish, limited entry trawl, midwater trawl, , before the primary whiting season - closed; during the primary whiting season - in trips of at least 10000 lbs of whiting, combined widow and yellowtail limit of 500 lbs per trip, cumulative 2000 lbs per month for yellowtail.  Midwater trawl permitted in the RCA."
1/1/2010	 4010 North 	" yellowtail rockfish, limited entry trawl,  large and small footrope gear, 300 lbs per 2 months"
1/1/2010	 4010 North 	" yellowtail rockfish, limited entry trawl,  selective flatfish trawl, 2000 lbs per 2 months"
1/1/2010	 4010 North 	" yellowtail rockfish, limited entry trawl,  multiple bottom trawl gear, 300 lbs per 2 months"
1/1/2010	 4010 South 	" minor shelf rockfish south including shortbelly and yellowtail, limited entry trawl,  large footrope or midwater trawl, 300 lbs per month"
1/1/2010	 4010 South 	" minor shelf rockfish south including shortbelly, widow, yellowtail, and yelloweye, limited entry trawl, small footrope, 300 lbs per month"
3/1/2010	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly and widow rockfish,limited  entry fixed gear, closed"
3/1/2010	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly, widow, and chilipepper, open access gear, closed"
5/1/2010	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly, and widow rockfish,limited  entry fixed gear, 3000 lbs per 2 months"
5/1/2010	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly, widow, and chilipepper, open access gear, 750 lbs per 2 months"
1/1/2011	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly and widow rockfish,limited entry fixed gear, 3000 lbs per 2 months"
1/1/2011	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly, widow, and chilipepper, open access gear, 750 lbs per 2 months"
1/1/2011	 4010 North 	" minor shelf rockfish north including bocaccio, chilipepper, cowcod, shortbelly, widow, and yellowtail, limited entry fixed gear, 200 lbs per month"
1/1/2011	 4010 North 	" minor shelf rockfish north including bocaccio, chilipepper, cowcod, shortbelly, widow and yellowtail, open access gears, 200 lbs per month"
1/1/2011	 4010 North 	" salmon troll, open access gear, 1 lb of yellowtail for every 2 lbs of salmon with a cumulative limit of 200 lbs per month: Refer to Federal register for additional regulations"
1/1/2011	 ALL 	 Yellowtail rockfish managed in part by IFQ
3/1/2011	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly and widow rockfish,limited entry fixed gear, closed"
3/1/2011	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly, widow, and chilipepper, open access gear, closed"
5/1/2011	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly, and widow rockfish,limited entry fixed gear, 3000 lbs per 2 months"
5/1/2011	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly, widow, and chilipepper, open access gear, 750 lbs per 2 months"
7/1/2011	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly, widow, and chilipepper, open access gear, 1000 lbs per 2 months"
1/1/2012	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly and widow rockfish, limited  entry fixed gear, 3000 lbs per 2 months"
1/1/2012	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly, widow, and chilipepper, open access gear, 750 lbs per 2 months"
1/1/2012	 4010 North 	" minor shelf rockfish north including bocaccio, chilipepper, cowcod, shortbelly, widow and yellowtail, open access gears, 200 lbs per month"
1/1/2012	 4010 North 	" salmon troll, open access gear, 1 lb of yellowtail for every 2 lbs of salmon with a cumulative limit of 200 lbs per month: Refer to Federal register for additional regulations"
1/1/2012	 4010 North 	" minor shelf rockfish north including bocaccio, chilipepper, cowcod, shortbelly, widow, and yellowtail, limited entry fixed gear, 200 lbs per month"
3/1/2012	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly and widow rockfish, limited  entry fixed gear, closed"
3/1/2012	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly, widow, and chilipepper, open access gear, closed"
5/1/2012	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly, and widow rockfish, limited  entry fixed gear, 3000 lbs per 2 months"
5/1/2012	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly, widow, and chilipepper, open access gear, 750 lbs per 2 months"
7/1/2012	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly, widow, and chilipepper, open access gear, 1000 lbs per 2 months"
9/1/2012	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly, and widow rockfish, limited  entry fixed gear, 4000 lbs per 2 months"
1/1/2013	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly and widow rockfish, limited  entry fixed gear, 3000 lbs per 2 months"
1/1/2013	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly, widow, and chilipepper, open access gear, 750 lbs per 2 months"
1/1/2013	 4010 North 	" minor shelf rockfish north including bocaccio, chilipepper, cowcod, shortbelly, widow and yellowtail, open access gears, 200 lbs per month"
1/1/2013	 4010 North 	" salmon troll, open access gear, 1 lb of yellowtail for every 2 lbs of salmon with a cumulative limit of 200 lbs per month: Refer to Federal register for additional regulations"
1/1/2013	 4010 North 	" minor shelf rockfish north including bocaccio, chilipepper, cowcod, shortbelly, widow, and yellowtail, limited entry fixed gear, 200 lbs per month"
3/1/2013	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly and widow rockfish, limited  entry fixed gear, closed"
3/1/2013	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly, widow, and chilipepper, open access gear, closed"
5/1/2013	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly, and widow rockfish, limited  entry fixed gear, 3000 lbs per 2 months"
5/1/2013	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly, widow, and chilipepper, open access gear, 750 lbs per 2 months"
7/1/2013	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly, and widow rockfish, limited  entry fixed gear, 4000 lbs per 2 months"
7/1/2013	 3427 South 	" minor shelf rockfish south including yellowtail, shortbelly, widow, and chilipepper, open access gear, 1000 lbs per 2 months"
1/1/2014	 3427 South 	" non-trawl, limited entry, minor shelf rockfish including shortbelly, widow, and yellowtail rockfish, 3000 lbs per 2 months"
